订单编号,订单日期,门店,产品ID,顾客ID,数量
20000494,6/30/2020,泰兴市,3009,776,1
20000495,6/30/2020,南京市,3009,441,1
20000496,6/30/2020,南通市,3002,659,1
20000497,6/30/2020,北京市,3001,166,1
20000498,6/30/2020,北京市,3002,168,1
20000499,6/30/2020,南京市,3002,464,1
20000500,6/30/2020,泰兴市,3002,780,3
20000501,6/30/2020,嘉兴市,3001,212,3
20000502,6/30/2020,嘉兴市,3002,274,2
20000503,7/1/2020,常州市,3001,564,1
20000504,7/1/2020,常州市,3002,538,2
20000505,7/1/2020,常州市,3003,505,1
20000506,7/1/2020,杭州市,3003,360,4
20000507,7/1/2020,杭州市,3002,373,1
20000508,7/1/2020,南通市,3003,618,2
20000509,7/1/2020,南京市,3008,403,4
20000510,7/2/2020,北京市,3002,189,2
20000511,7/2/2020,泰兴市,3003,722,3
20000512,7/2/2020,南通市,3003,688,1
20000513,7/2/2020,南京市,3002,445,3
20000514,7/2/2020,杭州市,3002,348,1
20000515,7/2/2020,南通市,3001,678,1
20000516,7/2/2020,常州市,3002,588,4
20000517,7/2/2020,北京市,3001,164,1
20000518,7/2/2020,泰兴市,3002,701,2
20000519,7/2/2020,杭州市,3003,332,1
20000520,7/2/2020,杭州市,3003,317,4
20000521,7/2/2020,嘉兴市,3002,217,1
20000522,7/2/2020,嘉兴市,3001,282,4
20000523,7/2/2020,南京市,3002,434,1
20000524,7/2/2020,南通市,3002,624,1
20000525,7/3/2020,常州市,3002,503,1
20000526,7/3/2020,南京市,3001,405,4
20000527,7/3/2020,杭州市,3002,372,1
20000528,7/3/2020,泰兴市,3001,723,2
20000529,7/3/2020,南通市,3003,642,2
20000530,7/3/2020,南京市,3002,406,2
20000531,7/3/2020,常州市,3002,598,1
20000532,7/3/2020,北京市,3001,108,4
20000533,7/3/2020,北京市,3001,165,2
20000534,7/3/2020,杭州市,3008,367,1
20000535,7/3/2020,南京市,3008,430,4
20000536,7/3/2020,南京市,3009,438,1
20000537,7/3/2020,南京市,3002,445,2
20000538,7/3/2020,南京市,3008,498,3
20000539,7/3/2020,嘉兴市,3008,245,1
20000540,7/3/2020,杭州市,3001,360,1
20000541,7/4/2020,杭州市,3002,320,1
20000542,7/6/2020,常州市,3002,521,3
20000543,7/6/2020,南京市,3008,405,1
20000544,7/6/2020,泰兴市,3003,720,3
20000545,7/6/2020,南通市,3001,604,1
20000546,7/6/2020,北京市,3002,172,1
20000547,7/6/2020,北京市,3002,125,2
20000548,7/6/2020,南京市,3001,466,1
20000549,7/6/2020,南京市,3003,437,4
20000550,7/6/2020,南京市,3003,493,1
20000551,7/6/2020,北京市,3003,122,4
20000552,7/6/2020,南京市,3001,421,3
20000553,7/6/2020,泰兴市,3001,796,2
20000554,7/7/2020,常州市,3002,590,1
20000555,7/7/2020,常州市,3003,517,2
20000556,7/7/2020,泰兴市,3002,777,4
20000557,7/7/2020,泰兴市,3001,723,1
20000558,7/7/2020,北京市,3003,140,1
20000559,7/7/2020,南京市,3001,456,4
20000560,7/7/2020,南京市,3002,450,1
20000561,7/7/2020,杭州市,3003,375,4
20000562,7/7/2020,杭州市,3003,370,2
20000563,7/7/2020,杭州市,3003,340,4
20000564,7/7/2020,泰兴市,3002,735,1
20000565,7/7/2020,泰兴市,3003,788,4
20000566,7/7/2020,杭州市,3002,357,1
20000567,7/7/2020,杭州市,3001,342,1
20000568,7/7/2020,嘉兴市,3001,256,3
20000569,7/7/2020,南京市,3007,479,1
20000570,7/7/2020,南京市,3002,445,1
20000571,7/8/2020,常州市,3003,550,4
20000572,7/8/2020,嘉兴市,3002,226,3
20000573,7/8/2020,南京市,3001,439,1
20000574,7/8/2020,南京市,3008,424,3
20000575,7/8/2020,南京市,3007,429,2
20000576,7/8/2020,杭州市,3001,340,1
20000577,7/8/2020,常州市,3001,595,4
20000578,7/8/2020,嘉兴市,3002,237,2
20000579,7/8/2020,诸暨市,3002,870,4
20000580,7/9/2020,常州市,3002,567,1
20000581,7/9/2020,常州市,3002,596,3
20000582,7/9/2020,南京市,3008,495,4
20000583,7/9/2020,嘉兴市,3003,278,2
20000584,7/9/2020,嘉兴市,3003,254,3
20000585,7/9/2020,北京市,3002,195,2
20000586,7/9/2020,南京市,3001,418,1
20000587,7/9/2020,常州市,3001,572,4
20000588,7/9/2020,天津市,3003,909,1
20000589,7/9/2020,南京市,3008,438,4
20000590,7/10/2020,嘉兴市,3003,265,3
20000591,7/10/2020,南通市,3001,608,2
20000592,7/10/2020,南京市,3008,492,1
20000593,7/10/2020,南京市,3009,439,4
20000594,7/10/2020,南京市,3002,475,1
20000595,7/10/2020,杭州市,3003,339,4
20000596,7/10/2020,杭州市,3002,325,1
20000597,7/10/2020,常州市,3003,571,1
20000598,7/10/2020,常州市,3003,553,1
20000599,7/10/2020,天津市,3003,969,3
20000600,7/10/2020,南京市,3001,479,4
20000601,7/10/2020,嘉兴市,3003,237,3
20000602,7/13/2020,常州市,3001,545,1
20000603,7/13/2020,常州市,3001,549,1
20000604,7/13/2020,南京市,3008,492,1
20000605,7/13/2020,嘉兴市,3010,243,1
20000606,7/13/2020,泰兴市,3002,781,1
20000607,7/13/2020,南通市,3002,637,4
20000608,7/13/2020,南通市,3002,664,2
20000609,7/13/2020,南京市,3001,447,1
20000610,7/13/2020,南京市,3008,473,1
20000611,7/13/2020,南通市,3002,622,1
20000612,7/13/2020,天津市,3001,966,1
20000613,7/13/2020,南京市,3003,407,1
